ID,algorithm_name
17266,binary_search
16960,binary_search
16960,binary_search
1166,binary_search
1166,binary_search
1072,binary_search
1072,binary_search
11561,binary_search
11561,binary_search
17451,binary_search
17451,binary_search
17124,binary_search
17124,binary_search
17393,binary_search
17393,binary_search
2121,binary_search
2121,binary_search
7795,binary_search
7795,binary_search
14627,binary_search
14627,binary_search
18113,binary_search
18113,binary_search
15810,binary_search
15810,binary_search
13702,binary_search
13702,binary_search
16401,binary_search
16401,binary_search
14575,binary_search
14575,binary_search
6236,binary_search
6236,binary_search
17503,binary_search
17503,binary_search
2343,binary_search
2343,binary_search
16564,binary_search
16564,binary_search
2792,binary_search
2792,binary_search
11687,binary_search
11687,binary_search
18114,binary_search
18114,binary_search
2467,binary_search
2467,binary_search
2866,binary_search
2866,binary_search
9024,binary_search
9024,binary_search
20495,binary_search
20495,binary_search
3020,binary_search
3020,binary_search
16434,binary_search
16434,binary_search
8983,binary_search
8983,binary_search
17179,binary_search
17179,binary_search
22945,binary_search
22945,binary_search
2022,binary_search
2022,binary_search
12757,binary_search
12757,binary_search
2143,binary_search
2143,binary_search
17951,binary_search
17951,binary_search
9007,binary_search
9007,binary_search
2613,binary_search
2613,binary_search
15823,binary_search
15823,binary_search
15732,binary_search
15732,binary_search
6209,binary_search
6209,binary_search
1561,binary_search
1561,binary_search
15649,backtracking
15649,backtracking
15651,backtracking
15651,backtracking
15654,backtracking
15654,backtracking
15650,backtracking
15650,backtracking
15656,backtracking
15656,backtracking
15652,backtracking
15652,backtracking
15657,backtracking
15657,backtracking
15655,backtracking
15655,backtracking
10971,backtracking
10971,backtracking
1182,backtracking
1182,backtracking
15663,backtracking
15663,backtracking
15665,backtracking
15665,backtracking
15664,backtracking
15664,backtracking
15666,backtracking
15666,backtracking
14888,backtracking
14888,backtracking
6443,backtracking
6443,backtracking
1174,backtracking
1174,backtracking
3980,backtracking
3980,backtracking
16987,backtracking
16987,backtracking
14712,backtracking
14712,backtracking
1062,backtracking
1062,backtracking
2580,backtracking
2580,backtracking
9663,backtracking
9663,backtracking
18430,backtracking
18430,backtracking
2661,backtracking
2661,backtracking
22944,backtracking
22944,backtracking
17136,backtracking
17136,backtracking
1799,backtracking
1799,backtracking
16922,backtracking
16922,backtracking
18429,backtracking
18429,backtracking
10974,backtracking
10974,backtracking
20950,backtracking
20950,backtracking
19699,backtracking
19699,backtracking
13908,backtracking
13908,backtracking
15658,backtracking
15658,backtracking
6603,backtracking
6603,backtracking
10819,backtracking
10819,backtracking
19949,backtracking
19949,backtracking
18290,backtracking
18290,backtracking
15566,backtracking
15566,backtracking
1497,backtracking
1497,backtracking
1342,backtracking
1342,backtracking
14889,backtracking
14889,backtracking
1189,backtracking
1189,backtracking
2529,backtracking
2529,backtracking
12101,backtracking
12101,backtracking
16198,backtracking
16198,backtracking
7682,backtracking
7682,backtracking
10421,backtracking
10421,backtracking
10597,backtracking
10597,backtracking
1469,backtracking
1469,backtracking
1038,backtracking
1038,backtracking
20208,backtracking
20208,backtracking
1759,backtracking
1759,backtracking
2023,backtracking
2023,backtracking
12908,backtracking
12908,backtracking
7490,backtracking
7490,backtracking
16938,backtracking
16938,backtracking
1553,backtracking
1553,backtracking
15918,backtracking
15918,backtracking
19942,backtracking
19942,backtracking
1987,backtracking
1987,backtracking
6987,backtracking
6987,backtracking
1405,backtracking
1405,backtracking
2239,backtracking
2239,backtracking
2922,backtracking
2922,backtracking
15659,backtracking
15659,backtracking
15684,backtracking
15684,backtracking
9944,backtracking
9944,backtracking
1248,backtracking
1248,backtracking
16571,backtracking
16571,backtracking
1941,backtracking
1941,backtracking
3165,backtracking
3165,backtracking
2026,backtracking
2026,backtracking
1729,backtracking
1729,backtracking
20436,simulation
20436,simulation
5212,simulation
5212,simulation
1713,simulation
1713,simulation
21922,simulation
21922,simulation
20165,simulation
20165,simulation
14891,simulation
14891,simulation
20055,simulation
20055,simulation
15683,simulation
15683,simulation
17837,simulation
17837,simulation
22861,simulation
22861,simulation
13460,simulation
13460,simulation
14594,simulation
14594,simulation
21610,simulation
21610,simulation
14503,simulation
14503,simulation
20665,simulation
20665,simulation
20056,simulation
20056,simulation
16234,simulation
16234,simulation
3190,simulation
3190,simulation
17140,simulation
17140,simulation
14499,simulation
14499,simulation
17144,simulation
17144,simulation
16235,simulation
16235,simulation
8972,simulation
8972,simulation
17135,simulation
17135,simulation
20058,simulation
20058,simulation
16236,simulation
16236,simulation
17779,simulation
17779,simulation
15685,simulation
15685,simulation
18808,simulation
18808,simulation
20057,simulation
20057,simulation
19238,simulation
19238,simulation
17822,simulation
17822,simulation
20061,simulation
20061,simulation
21609,simulation
21609,simulation
16939,simulation
16939,simulation
17780,simulation
17780,simulation
19236,simulation
19236,simulation
2933,simulation
2933,simulation
17143,simulation
17143,simulation
13459,simulation
13459,simulation
18500,simulation
18500,simulation
19237,simulation
19237,simulation
18809,simulation
18809,simulation
15653,simulation
15653,simulation
15644,simulation
15644,simulation
19235,simulation
19235,simulation
5373,simulation
5373,simulation
3025,simulation
3025,simulation
2606,graph_traversal
2606,graph_traversal
1260,graph_traversal
1260,graph_traversal
11725,graph_traversal
11725,graph_traversal
1325,graph_traversal
1325,graph_traversal
14940,graph_traversal
14940,graph_traversal
16918,graph_traversal
16918,graph_traversal
2667,graph_traversal
2667,graph_traversal
2178,graph_traversal
2178,graph_traversal
13549,graph_traversal
13549,graph_traversal
17836,graph_traversal
17836,graph_traversal
13023,graph_traversal
13023,graph_traversal
7576,graph_traversal
7576,graph_traversal
7569,graph_traversal
7569,graph_traversal
2668,graph_traversal
2668,graph_traversal
18513,graph_traversal
18513,graph_traversal
